seed,permuted_labels,best_val_loss,accuracy,balanced_accuracy,f1_class1,auroc,auprc,brier_score,tn,fp,fn,tp
0,False,0.19740835342152874,0.9513236549957301,0.9473521505376344,0.9412976313079299,0.9853405017921146,0.9822720399098291,0.03868726023470631,657,18,39,457
1,False,0.1941366830120092,0.9496157130657558,0.9458706690561529,0.9393627954779034,0.9847819593787336,0.9803132864346265,0.041514960295539916,655,20,39,457
2,False,0.1998876611518309,0.9427839453458582,0.9386081242532855,0.9309989701338827,0.9832048984468339,0.9799103278481502,0.04089767466510821,652,23,44,452
42,False,0.1900032219335945,0.9521776259607173,0.9472909199522103,0.9419087136929462,0.9824103942652331,0.976698847990224,0.04023539343037628,661,14,42,454
1024,False,0.22292915568907234,0.9368061485909479,0.9331556152927121,0.9241803278688525,0.9802568697729988,0.9731906782844724,0.04841884248400912,646,29,45,451
