roi_name,original_balanced_accuracy,jitter_balanced_accuracy_mean,jitter_balanced_accuracy_sd,jitter_balanced_accuracy_min,jitter_balanced_accuracy_max,original_auroc,jitter_auroc_mean,jitter_auroc_sd,jitter_auroc_min,jitter_auroc_max
right_cheek_zygomatic,0.6551015531660693,0.6471968339307048,0.012041749926987028,0.6311364994026285,0.6664575866188769,0.6988082437275986,0.7040612305854241,0.011619693376033026,0.6896176821983273,0.7197461170848268
right_periocular,0.6018667861409797,0.6031382915173238,0.016489555952237306,0.5848521505376344,0.6287783751493429,0.6736648745519713,0.6832610513739547,0.018530346648442376,0.6596804062126643,0.7264068100358424
upper_brow_forehead,0.5992831541218638,0.601811230585424,0.016843220747034673,0.5764321983273596,0.6251642771804062,0.6664994026284349,0.6548213859020311,0.025977515152213897,0.6117234169653525,0.6869026284348865
left_cheek_zygomatic,0.5857332735961769,0.6016869772998805,0.01720389723686487,0.5803255675029868,0.6355241935483871,0.6248118279569892,0.6412168458781362,0.01569921898165616,0.620621266427718,0.6603434886499402
chin_mandible,0.5851881720430108,0.5843472222222222,0.01795731817030612,0.5520669056152927,0.6071594982078853,0.6198387096774194,0.6202081839904421,0.0226088984221898,0.5835005973715651,0.6485304659498208
left_periocular,0.563923237753883,0.583149641577061,0.032111319044173275,0.5450761648745519,0.6331182795698924,0.5935274790919952,0.6138506571087216,0.04179835105330756,0.5564247311827957,0.6780704898446833
perioral_mouth,0.5560483870967742,0.5769659498207884,0.013093975275927325,0.5534916367980884,0.6013276583034648,0.5576851851851852,0.5910510752688173,0.022759677516644063,0.5547401433691757,0.6324551971326164
nasal_midface,0.5548282556750299,0.5515334528076463,0.009224242871083534,0.5355301672640382,0.5635498805256869,0.5787873357228195,0.5735767622461172,0.009306764954920185,0.5610513739545998,0.5862096774193548
