seed,roi_index,roi_name,n,accuracy,balanced_accuracy,f1_class1,auroc,auprc,brier_score,mean_true_confidence,tn,fp,fn,tp
0,1,upper_brow_forehead,1171,0.6216908625106746,0.5927240143369176,0.47449584816132856,0.6181152927120669,0.5884468887331292,0.23288315838212034,0.5306248068809509,528,147,296,200
0,2,left_periocular,1171,0.5294619982920581,0.5052389486260453,0.3843575418994414,0.4631182795698925,0.4065356884321406,0.26462368407643205,0.4990979731082916,448,227,324,172
0,3,right_periocular,1171,0.5251921434671221,0.5106242532855436,0.42561983471074377,0.5066965352449223,0.4224843494421737,0.25572954193365655,0.5052541494369507,409,266,290,206
0,4,nasal_midface,1171,0.47224594363791633,0.42860961768219835,0.1868421052631579,0.37397849462365595,0.34971286917056743,0.2648492240471006,0.49253275990486145,482,193,425,71
0,5,left_cheek_zygomatic,1171,0.5584970111016225,0.5312261051373954,0.40369088811995385,0.5368906810035843,0.438892926764009,0.24900242050299445,0.5116927027702332,479,196,321,175
0,6,right_cheek_zygomatic,1171,0.5602049530315969,0.5401926523297491,0.44082519001085774,0.5511230585424134,0.471486270290453,0.24734458066611206,0.5099115967750549,453,222,293,203
0,7,perioral_mouth,1171,0.5721605465414176,0.5361275388291518,0.37296620775969963,0.5493130227001195,0.4905073381841329,0.2439212755561512,0.5100277662277222,521,154,347,149
0,8,chin_mandible,1171,0.5064047822374039,0.4916547192353644,0.4041237113402062,0.4813321385902031,0.4107552966015224,0.25575736704440805,0.5005242228507996,397,278,300,196
1,1,upper_brow_forehead,1171,0.53800170794193,0.5500716845878136,0.5356223175965665,0.5813799283154122,0.5310441513425626,0.24751228123361838,0.5065227150917053,318,357,184,312
1,2,left_periocular,1171,0.5345858240819812,0.5551284348864994,0.5565500406834825,0.5706810035842294,0.49103328070621977,0.2511107311776726,0.5043846964836121,284,391,154,342
1,3,right_periocular,1171,0.547395388556789,0.5496654719235365,0.5137614678899083,0.5697491039426523,0.4766829374550732,0.2465653961358905,0.507430911064148,361,314,216,280
1,4,nasal_midface,1171,0.444064901793339,0.4637783751493429,0.47457627118644075,0.4790621266427718,0.4358467576311001,0.25594627823017313,0.49648138880729675,226,449,202,294
1,5,left_cheek_zygomatic,1171,0.5192143467122118,0.5016965352449223,0.40549102428722283,0.5326373954599761,0.42072697345834853,0.25517675924089134,0.506517767906189,416,259,304,192
1,6,right_cheek_zygomatic,1171,0.5721605465414176,0.5436126045400239,0.41403508771929826,0.5516666666666665,0.465520364225865,0.24499432796495277,0.5114591717720032,493,182,319,177
1,7,perioral_mouth,1171,0.5192143467122118,0.49394414575866186,0.36670416197975253,0.4847968936678614,0.4070018685841875,0.2508447803027004,0.5004574060440063,445,230,333,163
1,8,chin_mandible,1171,0.5721605465414176,0.546553166069295,0.4287343215507411,0.5673566308243727,0.48100585636883664,0.24441233475759605,0.5078621506690979,482,193,308,188
2,1,upper_brow_forehead,1171,0.5277540563620837,0.523004778972521,0.4687800192122959,0.5509259259259259,0.49285261149033766,0.24753043736196081,0.5122848749160767,374,301,252,244
2,2,left_periocular,1171,0.5072587532023911,0.4830391278375149,0.3581757508342603,0.4844205495818399,0.42146302002291697,0.2529528264729524,0.5024310946464539,433,242,335,161
2,3,right_periocular,1171,0.5038428693424424,0.49076911589008365,0.40895218718209564,0.48189068100358423,0.42579094508647036,0.2635270722105982,0.4986025094985962,389,286,295,201
2,4,nasal_midface,1171,0.5405636208368916,0.5063142174432497,0.3422982885085575,0.5086618876941458,0.4431243173127869,0.2483881716855358,0.5058917999267578,493,182,356,140
2,5,left_cheek_zygomatic,1171,0.4705380017079419,0.46161290322580645,0.392156862745098,0.45094982078853046,0.3762949759664997,0.2642121602493119,0.4938827157020569,351,324,296,200
2,6,right_cheek_zygomatic,1171,0.47993168232280103,0.47778076463560337,0.43030869971936386,0.47057347670250893,0.4189759430431068,0.2596549981904743,0.49622130393981934,332,343,266,230
2,7,perioral_mouth,1171,0.4637062339880444,0.4655779569892473,0.4301270417422867,0.48479689366786144,0.416071710531393,0.254909643543089,0.49854955077171326,306,369,259,237
2,8,chin_mandible,1171,0.5277540563620837,0.4994802867383512,0.3606936416184971,0.5239695340501792,0.43411647942840403,0.2478640320177369,0.5052747130393982,462,213,340,156
