seed,permuted_labels,best_val_loss,accuracy,balanced_accuracy,f1_class1,auroc,auprc,brier_score,tn,fp,fn,tp
0,True,0.768107261175805,0.5516652433817251,0.5354584826762245,0.44794952681388017,0.5518518518518518,0.45994968258102664,0.26663520873261953,433,242,283,213
1,True,0.7526049759793789,0.6088812980358668,0.5872267025089606,0.4911111111111111,0.6320758661887694,0.5256352773458384,0.2357537246166402,492,183,275,221
2,True,0.7538839279337132,0.5072587532023911,0.4830391278375149,0.3581757508342603,0.4509438470728793,0.3982851297497485,0.29885670771469014,433,242,335,161
