roi_name,n,fixed_ba_point,fixed_ba_mean,fixed_ba_sd,fixed_ba_q2_5,fixed_ba_q50,fixed_ba_q97_5,yunet_ba_point,yunet_ba_mean,yunet_ba_sd,yunet_ba_q2_5,yunet_ba_q50,yunet_ba_q97_5,delta_ba_point,delta_ba_mean,delta_ba_sd,delta_ba_q2_5,delta_ba_q50,delta_ba_q97_5,fixed_auroc_point,fixed_auroc_mean,fixed_auroc_sd,fixed_auroc_q2_5,fixed_auroc_q50,fixed_auroc_q97_5,yunet_auroc_point,yunet_auroc_mean,yunet_auroc_sd,yunet_auroc_q2_5,yunet_auroc_q50,yunet_auroc_q97_5,delta_auroc_point,delta_auroc_mean,delta_auroc_sd,delta_auroc_q2_5,delta_auroc_q50,delta_auroc_q97_5
upper_brow_forehead,1171,0.5992831541218638,0.5992962669275894,0.01430938750607984,0.5700549279487636,0.5990684813265321,0.6264584082152131,0.5601911589008363,0.5605222482930496,0.01373681685315404,0.5335575675044939,0.5602843438602922,0.5881330718644554,-0.039091995221027576,-0.038774018634539616,0.010751290640087384,-0.05905905441681766,-0.038939380539568136,-0.017793775622909916,0.6664994026284349,0.6668412475952182,0.015748999894574314,0.6359913789503348,0.6670306198727869,0.6978906984883249,0.636173835125448,0.6361189832687529,0.016431046302429753,0.6041638292096542,0.6362553324158673,0.6673386572266267,-0.030325567502986872,-0.030722264326465208,0.00930876858328069,-0.04901729653026203,-0.030702898076420848,-0.011630606603514315
left_periocular,1171,0.563923237753883,0.5638856361444423,0.014379199460576733,0.536377875982862,0.5634325377980933,0.5925093095813094,0.5724671445639187,0.5724576661076395,0.013716194008044994,0.5461349880645936,0.5733450489505822,0.5983571398407836,0.008543906810035695,0.00857202996319719,0.017888186325335027,-0.025307637496185118,0.008278653138572345,0.04305496431422442,0.5935274790919952,0.5935319810711561,0.01645879163229371,0.5617791708166487,0.592638135904356,0.6268523069593843,0.6104988052568697,0.6103852078729626,0.01578637796412909,0.5772968795304064,0.6102468031545198,0.6414519197615594,0.01697132616487451,0.016853226801806495,0.017815427818895967,-0.019885617703148166,0.017585413575443243,0.049688450054926274
right_periocular,1171,0.6018667861409797,0.601872646356321,0.012845379817526379,0.5766124570120238,0.6020144815661026,0.6267497570120582,0.5912350657108721,0.5914483669204746,0.013754825049053248,0.5640980777151133,0.5914564984327977,0.618746151108399,-0.010631720430107516,-0.010424279435846263,0.017892049666834477,-0.04554918030288255,-0.01089045646818132,0.023733370296106122,0.6736648745519713,0.6737097540504954,0.015686757411504014,0.6421787783341352,0.6734276617704404,0.7044504124025631,0.648273596176822,0.6485014424737312,0.016249853131065216,0.6159507430868707,0.6483980957503691,0.678847694878297,-0.025391278375149318,-0.02520831157676416,0.02029625195117591,-0.06345914700773687,-0.025972554918940127,0.015111034204253197
nasal_midface,1171,0.5548282556750299,0.5551289313581808,0.015360978381445985,0.5253583693798152,0.5551395099236767,0.5839796962756575,0.6248252688172042,0.6249557860087799,0.01457363583296712,0.5938196460690044,0.625406032832811,0.6525959635254368,0.06999701314217432,0.06982685465059908,0.013974371858921694,0.04249640664240672,0.06901925430052769,0.09726047013955134,0.5787873357228195,0.5793503420646775,0.01791672003170115,0.5431535584103834,0.5786933152055936,0.6145073447038082,0.667873357228196,0.6678576447147632,0.016527809961670057,0.6347129364184797,0.6689227112836997,0.6985394534197162,0.08908602150537648,0.08850730265008565,0.013606275128973583,0.0625851147614956,0.08850088209080287,0.1144272194243589
left_cheek_zygomatic,1171,0.5857332735961769,0.5853053843186383,0.014905351885505508,0.5569617621353515,0.5847452011530179,0.6151619140551339,0.5934856630824372,0.5937936826053788,0.015040713763503976,0.56576031385333,0.5932721967102272,0.6231440837856788,0.007752389486260336,0.008488298286740463,0.0124870551043399,-0.016855877269422316,0.00848957709356657,0.03262044340711753,0.6248118279569892,0.6250489940793411,0.01774427795663619,0.5933638644678153,0.6245184239051578,0.6622038506729038,0.6260304659498208,0.6267218765169195,0.017325304698282102,0.5935996937203235,0.6258658510848047,0.6598293438252067,0.0012186379928316171,0.001672882437578282,0.010512789772155261,-0.018713741164236613,0.0018362967815001574,0.02255504140886433
right_cheek_zygomatic,1171,0.6551015531660693,0.6551483155345966,0.013795667683130708,0.6285693221740984,0.655098110062413,0.6826319551175463,0.657479091995221,0.6578561674979795,0.014087607317073468,0.630643706860312,0.6575819986360953,0.6850911549007982,0.002377538829151704,0.0027078519633830303,0.01600321147190336,-0.029126419855916998,0.0027942267569720514,0.03480612553108211,0.6988082437275986,0.6987331030551552,0.015443777788686979,0.6679787467669844,0.6984852630363065,0.7271492737378831,0.7095519713261649,0.7097137798553356,0.015366139428497877,0.6794305057738742,0.7096001938071537,0.7394559888582798,0.010743727598566233,0.010980676800180333,0.016119425777585777,-0.020002867566708757,0.010719406132434717,0.04167311339217348
perioral_mouth,1171,0.5560483870967742,0.5562937818249377,0.014275351547785304,0.5281103650798534,0.5556900388837849,0.5843805417346151,0.6535409199522102,0.6541398398959464,0.013774803807387102,0.6267334214452133,0.654075431227098,0.6807559009103612,0.09749253285543602,0.09784605807100868,0.021171500512491646,0.056326056888432015,0.09760208380002594,0.13953473399195532,0.5576851851851852,0.5579973739518693,0.01654826376724187,0.5264655816203813,0.5576989395400689,0.592661417400238,0.712858422939068,0.7135946137711158,0.015993069013335318,0.6826115771181772,0.7135059189464904,0.7462200470746925,0.1551732377538828,0.1555972398192465,0.02481746947931231,0.10798893946759418,0.15587944059396258,0.20375588683628112
chin_mandible,1171,0.5851881720430108,0.5857777748021926,0.013714687579365888,0.558436280994884,0.5854790899510035,0.6124369567956919,0.5670594384707288,0.5678306844438166,0.014547954859971445,0.5400531923949602,0.568183615407831,0.5966252164046922,-0.018128733572281952,-0.017947090358376053,0.009324106182991428,-0.03602871129339568,-0.017917532205042996,-0.0006512343639805386,0.6198387096774194,0.6207639129437706,0.016534157566457618,0.5874561370716955,0.6213546179815197,0.6519395547483384,0.5834826762246117,0.584451485067268,0.017008979300213507,0.5519188072970566,0.5849456513636826,0.6175893436165956,-0.03635603345280769,-0.03631242787650259,0.00786008710172203,-0.050834196314574844,-0.03629801463322502,-0.021668842775340896
