max_cosine_exclusion_threshold,removed_test_samples,remaining_test_samples,accuracy,balanced_accuracy,auroc,auprc
0.999,2,1169,0.9520958083832335,0.9471900008991997,0.982351706980787,0.9765874456800738
0.995,177,994,0.9436619718309859,0.941749387466529,0.9786151664506375,0.9753047738607592
0.99,480,691,0.9204052098408104,0.9247835218371809,0.9666029713026562,0.9729102529857226
0.98,861,310,0.8741935483870967,0.8820906333469147,0.9336773959889536,0.9548084132638153
0.97,1052,119,0.8403361344537815,0.8441176470588235,0.8944636678200693,0.9412340066945921
0.95,1158,13,0.6153846153846154,0.65,0.6249999999999999,0.7291271228771229
