set,n,class0,class1,accuracy,balanced_accuracy,f1_class1,auroc,auprc,brier_score,ece,tn,fp,fn,tp
full_test,1171,675,496,0.9521776259607173,0.9472909199522103,0.9419087136929462,0.9824103942652331,0.976698847990224,0.04023539343037628,0.02305157028364492,661,14,42,454
filtered_test_remove_near_duplicates,1169,674,495,0.9520958083832335,0.9471900008991997,0.9417879417879417,0.982351706980787,0.9765874456800738,0.0403042306705787,0.023091260437114323,660,14,42,453
delta_filtered_minus_full,-2,-1,-1,-8.181757748382257e-05,-0.00010091905301057302,-0.00012077190500447976,-5.8687284446135024e-05,-0.000111402310150166,6.88372402024226e-05,3.969015346940233e-05,-1,0,0,-1
