test_id,test_index,nearest_mse_train_id,nearest_mse_train_index,nearest_mse,nearest_rmse,nearest_cosine_at_mse,nearest_cosine_train_id,nearest_cosine_train_index,max_cosine,mse_at_max_cosine,y_test,y_train_nearest_mse,label_conflict_nearest_mse,near_mse_flag,near_cosine_flag
test_0000,0,train_0000,0,0.007262080907821655,0.08521784096956253,0.9844774603843689,train_0000,0,0.9844774603843689,0.007262080907821655,0,0,False,False,False
test_0001,1,train_0001,1,0.004774004220962524,0.06909416615962982,0.9885682463645935,train_0001,1,0.9885682463645935,0.004774004220962524,0,0,False,False,False
test_0002,2,train_0002,2,0.0044477880001068115,0.06669174134731293,0.9894447922706604,train_0002,2,0.9894447922706604,0.0044477880001068115,0,0,False,False,False
test_0003,3,train_0003,3,0.007957309484481812,0.08920375257730484,0.9649553894996643,train_0001,1,0.9837231040000916,0.01245659589767456,0,0,False,False,False
test_0004,4,train_0004,4,0.0038647502660751343,0.06216711550951004,0.981876790523529,train_0004,4,0.981876790523529,0.0038647502660751343,0,0,False,False,False
test_0005,5,train_0007,7,0.007364422082901001,0.08581621199846268,0.974089503288269,train_0007,7,0.974089503288269,0.007364422082901001,0,0,False,False,False
test_0006,6,train_0006,6,0.003923237323760986,0.06263574957847595,0.9869573712348938,train_0006,6,0.9869573712348938,0.003923237323760986,0,0,False,False,False
test_0007,7,train_0008,8,0.004187747836112976,0.06471280753612518,0.9824133515357971,train_0008,8,0.9824133515357971,0.004187747836112976,0,0,False,False,False
test_0008,8,train_0008,8,0.003957897424697876,0.06291182339191437,0.9892712831497192,train_0008,8,0.9892712831497192,0.003957897424697876,0,0,False,False,False
test_0009,9,train_0010,10,0.005324423313140869,0.07296864688396454,0.9900206923484802,train_0010,10,0.9900206923484802,0.005324423313140869,0,0,False,False,False
test_0010,10,train_0010,10,0.010225176811218262,0.10111961513757706,0.98061603307724,train_0010,10,0.98061603307724,0.010225176811218262,0,0,False,False,False
test_0011,11,train_0000,0,0.003936141729354858,0.06273867934942245,0.9891092777252197,train_0000,0,0.9891092777252197,0.003936141729354858,0,0,False,False,False
test_0012,12,train_0013,13,0.0034842640161514282,0.05902765318751335,0.9831672310829163,train_0013,13,0.9831672310829163,0.0034842640161514282,1,1,False,False,False
test_0013,13,train_1135,1135,0.014007732272148132,0.11835426837205887,0.9169333577156067,train_0710,710,0.9190536141395569,0.04596391320228577,1,1,False,False,False
test_0014,14,train_0012,12,0.006584107875823975,0.08114251494407654,0.9822202324867249,train_0012,12,0.9822202324867249,0.006584107875823975,1,1,False,False,False
test_0015,15,train_0016,16,0.009194016456604004,0.09588543325662613,0.9672603607177734,train_0017,17,0.9692139029502869,0.009424179792404175,1,1,False,False,False
