y_true,roi_index,roi_name,n,mean_evidence_drop,median_evidence_drop,std_evidence_drop,prediction_change_rate
0,2,left eye,675,0.019007539837448684,4.172325134277344e-06,0.1079534117612125,0.017777777777777778
0,1,upper brow,675,0.01376543777960318,3.4570693969726562e-06,0.09816802157164306,0.016296296296296295
0,8,chin,675,0.010507104131910536,5.364418029785156e-07,0.07190032337532429,0.013333333333333334
0,6,right cheek,675,0.009376008863802309,1.7881393432617188e-07,0.08347769209666114,0.014814814814814815
0,4,nasal midface,675,0.007692163343782778,1.430511474609375e-06,0.07528134729839552,0.008888888888888889
0,3,right eye,675,0.007542231612735324,0.0,0.09014570652780302,0.01037037037037037
0,7,mouth,675,0.0011726090643141005,5.960464477539063e-08,0.03739832781763805,0.002962962962962963
0,5,left cheek,675,-0.0021135541244789407,0.0,0.05552635183043872,0.005925925925925926
1,1,upper brow,496,0.06788267054267752,2.6524066925048828e-05,0.22689169263423664,0.07258064516129033
1,6,right cheek,496,0.034109781054813805,8.463859558105469e-06,0.14103055395225758,0.03024193548387097
1,5,left cheek,496,0.03383200152990368,1.0609626770019531e-05,0.14098489493629981,0.03024193548387097
1,3,right eye,496,0.025175892058365616,7.152557373046875e-07,0.12433933939570214,0.03024193548387097
1,7,mouth,496,0.014867544160361216,0.0,0.10700823530140517,0.02620967741935484
1,4,nasal midface,496,0.00172460112386738,0.0,0.07337540965937474,0.018145161290322582
1,8,chin,496,-0.0014215768341596085,0.0,0.09920442925040734,0.024193548387096774
1,2,left eye,496,-0.008713457094766073,0.0,0.08078883526811363,0.016129032258064516
