seed,epochs,best_val_loss,accuracy,balanced_accuracy,f1_class1,auroc,auprc,brier_score,ece,tn,fp,fn,tp
0,300,0.19740835342152874,0.9513236549957301,0.9473521505376344,0.9412976313079299,0.9853405017921146,0.9822720399098291,0.03868726023470631,0.02322001336151415,657,18,39,457
1,300,0.1941366830120092,0.9496157130657558,0.9458706690561529,0.9393627954779034,0.9847819593787336,0.9803132864346265,0.041514960295539916,0.013723142357833416,655,20,39,457
2,300,0.1998876611518309,0.9427839453458582,0.9386081242532855,0.9309989701338827,0.9832048984468339,0.9799103278481502,0.04089767466510821,0.018522876068493656,652,23,44,452
3,300,0.19705673807729818,0.9496157130657558,0.9469399641577061,0.9398572884811417,0.9854868578255674,0.9802257533250537,0.040168277587125135,0.00942581668391509,651,24,35,461
4,300,0.17238536065715573,0.9487617421007686,0.9453972520908005,0.9385245901639345,0.9824701314217443,0.9770415861801698,0.04201753709340809,0.012701022342885705,653,22,38,458
