perturbation,n,accuracy,balanced_accuracy,f1_class1,auroc,auprc,brier_score,ece,tn,fp,fn,tp,delta_accuracy_vs_original,delta_balanced_accuracy_vs_original,delta_f1_class1_vs_original,delta_auroc_vs_original,delta_auprc_vs_original,delta_brier_score_vs_original,delta_ece_vs_original
original,1171,0.9521776259607173,0.9472909199522103,0.9419087136929462,0.9824103942652331,0.976698847990224,0.04023539343037628,0.023051570283644896,661,14,42,454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mild_blur_3x3,1171,0.9436379163108455,0.9398835125448028,0.9322381930184804,0.9788709677419355,0.97385409120064,0.04433163187348548,0.017031845540624806,651,24,42,454,-0.00853970964987183,-0.007407407407407418,-0.009670520674465721,-0.0035394265232976396,-0.0028447567895839576,0.004096238443109204,-0.0060197247430200905
center_crop_28_resize,1171,0.7839453458582408,0.7914740143369176,0.767249310027599,0.8833303464755078,0.8584098280926202,0.1644391525586324,0.1330249085378508,501,174,79,417,-0.16823228010247648,-0.1558169056152927,-0.17465940366534716,-0.09908004778972535,-0.11828901989760376,0.12420375912825612,0.1099733382542059
offset_crop_28_resize,1171,0.7702818104184458,0.7619787933094384,0.7229660144181257,0.8517114695340502,0.8271664866602857,0.1742805380970167,0.13052022390684623,551,124,145,351,-0.18189581554227152,-0.18531212664277186,-0.21894269927482046,-0.13069892473118294,-0.1495323613299383,0.13404514466664044,0.10746865362320134
