perturbation,spearman_like_rank_correlation,top3_overlap_count,top3_overlap_fraction,original_top3,perturbed_top3
mild_blur_3x3,0.9761904761904763,3,1.0,left_cheek_zygomatic;right_cheek_zygomatic;upper_brow_forehead,left_cheek_zygomatic;right_cheek_zygomatic;upper_brow_forehead
center_crop_28_resize,0.4047619047619048,2,0.6666666666666666,left_cheek_zygomatic;right_cheek_zygomatic;upper_brow_forehead,left_cheek_zygomatic;nasal_midface;upper_brow_forehead
offset_crop_28_resize,0.6904761904761906,3,1.0,left_cheek_zygomatic;right_cheek_zygomatic;upper_brow_forehead,left_cheek_zygomatic;right_cheek_zygomatic;upper_brow_forehead
