roi_name,mean_evidence_drop,median_evidence_drop
upper_brow_forehead,0.059281282126903534,0.003980100154876709
left_periocular,0.023843681439757347,0.0005202293395996094
right_periocular,0.02889431267976761,0.0010953545570373535
nasal_midface,0.02945728786289692,0.00022935867309570312
left_cheek_zygomatic,0.04852414131164551,0.0019994378089904785
right_cheek_zygomatic,0.0505162850022316,0.00376814603805542
perioral_mouth,0.01273342128843069,0.0002308487892150879
chin_mandible,0.03439906984567642,0.0010749101638793945
