metric,mean,sd,min,max
accuracy,0.9484201537147736,0.003285291897808959,0.9427839453458582,0.9513236549957301
balanced_accuracy,0.9448336320191159,0.003568249954458945,0.9386081242532855,0.9473521505376344
f1_class1,0.9380082551129585,0.004045688370096266,0.9309989701338827,0.9412976313079299
auroc,0.9842568697729988,0.0013473980168534137,0.9824701314217443,0.9854868578255674
auprc,0.979952598739566,0.001874853149747748,0.9770415861801698,0.9822720399098291
brier_score,0.04065714197517753,0.0013003658701234747,0.03868726023470631,0.04201753709340809
ece,0.015518574162928405,0.0053995801455469965,0.00942581668391509,0.02322001336151415
