roi_index,roi_name,n,accuracy,balanced_accuracy,f1_class1,auroc,auprc,brier_score,mean_true_confidence,majority_baseline_accuracy,missing_yunet_count,mean_dynamic_roi_pixels,tn,fp,fn,tp
6,right_cheek_zygomatic,1171,0.6618274978650726,0.657479091995221,0.6117647058823529,0.7095519713261649,0.6441673938037269,0.22702166790417816,0.6074973344802856,0.5764304013663536,0,149.49103330486764,463,212,184,312
7,perioral_mouth,1171,0.6421861656703672,0.6535409199522102,0.632778264680105,0.712858422939068,0.6797918539890881,0.2576890420055688,0.6066097617149353,0.5764304013663536,0,171.34842015371478,391,284,135,361
4,nasal_midface,1171,0.6251067463706234,0.6248252688172042,0.5846736045411541,0.667873357228196,0.5800354176397855,0.24832846461070524,0.5757955312728882,0.5764304013663536,0,79.9530315969257,423,252,187,309
5,left_cheek_zygomatic,1171,0.5849701110162254,0.5934856630824372,0.5699115044247788,0.6260304659498208,0.5845023668348373,0.2891289702146484,0.55451899766922,0.5764304013663536,0,139.95559350982066,363,312,174,322
3,right_periocular,1171,0.5678906917164817,0.5912350657108721,0.5932475884244371,0.648273596176822,0.5787905872423684,0.2818220381365895,0.5543102025985718,0.5764304013663536,0,123.73783091374894,296,379,127,369
2,left_periocular,1171,0.5798462852263023,0.5724671445639187,0.5138339920948617,0.6104988052568697,0.517320014346949,0.26679786180220183,0.5556572675704956,0.5764304013663536,0,123.96754910333048,419,256,236,260
8,chin_mandible,1171,0.5807002561912895,0.5670594384707288,0.49119170984455957,0.5834826762246117,0.5588724851862846,0.2682641775276923,0.5442690253257751,0.5764304013663536,0,52.9265584970111,443,232,259,237
1,upper_brow_forehead,1171,0.5422715627668659,0.5601911589008363,0.5562913907284769,0.636173835125448,0.599935668271558,0.2982432108683681,0.5497019290924072,0.5764304013663536,0,230.30145175064047,299,376,160,336
