recall,precision
0.0,1.0
0.0020161290322580645,1.0
0.004032258064516129,1.0
0.006048387096774193,1.0
0.008064516129032258,1.0
0.010080645161290322,1.0
0.012096774193548387,1.0
0.014112903225806451,1.0
0.016129032258064516,1.0
0.018145161290322582,1.0
0.020161290322580645,1.0
0.02217741935483871,1.0
0.024193548387096774,1.0
0.02620967741935484,1.0
0.028225806451612902,1.0
0.03024193548387097,1.0
0.03225806451612903,1.0
0.034274193548387094,1.0
0.036290322580645164,1.0
0.038306451612903226,1.0
0.04032258064516129,1.0
0.04233870967741935,1.0
0.04435483870967742,1.0
0.046370967741935484,1.0
0.04838709677419355,1.0
0.05040322580645161,1.0
0.05241935483870968,1.0
0.05443548387096774,1.0
0.056451612903225805,1.0
0.05846774193548387,1.0
0.06048387096774194,1.0
0.0625,1.0
0.06451612903225806,1.0
0.06653225806451613,1.0
0.06854838709677419,1.0
0.07056451612903226,1.0
0.07258064516129033,1.0
0.07459677419354839,1.0
0.07661290322580645,1.0
0.07862903225806452,1.0
0.08064516129032258,1.0
0.08266129032258064,1.0
0.0846774193548387,1.0
0.08669354838709678,1.0
0.08870967741935484,1.0
0.0907258064516129,1.0
0.09274193548387097,1.0
0.09475806451612903,1.0
0.0967741935483871,1.0
0.09879032258064516,1.0
0.10080645161290322,1.0
0.1028225806451613,1.0
0.10483870967741936,1.0
0.10685483870967742,1.0
0.10887096774193548,1.0
0.11088709677419355,1.0
0.11290322580645161,1.0
0.11491935483870967,1.0
0.11693548387096774,1.0
0.11895161290322581,1.0
0.12096774193548387,1.0
0.12298387096774194,1.0
0.125,1.0
0.12701612903225806,1.0
0.12903225806451613,1.0
0.1310483870967742,1.0
0.13306451612903225,1.0
0.1350806451612903,1.0
0.13709677419354838,1.0
0.13911290322580644,1.0
0.14112903225806453,1.0
0.1431451612903226,1.0
0.14516129032258066,1.0
0.14717741935483872,1.0
0.14919354838709678,1.0
0.15120967741935484,1.0
0.1532258064516129,1.0
0.15524193548387097,1.0
0.15725806451612903,1.0
0.1592741935483871,1.0
0.16129032258064516,1.0
0.16330645161290322,1.0
0.16532258064516128,1.0
0.16733870967741934,1.0
0.1693548387096774,1.0
0.17137096774193547,1.0
0.17338709677419356,1.0
0.17540322580645162,1.0
0.1774193548387097,1.0
0.17943548387096775,1.0
0.1814516129032258,1.0
0.18346774193548387,1.0
0.18548387096774194,1.0
0.1875,1.0
0.1875,0.9893617021276596
0.18951612903225806,0.9894736842105263
0.19153225806451613,0.9895833333333334
0.1935483870967742,0.9896907216494846
0.19556451612903225,0.9897959183673469
0.1975806451612903,0.98989898989899
0.19959677419354838,0.99
0.20161290322580644,0.9900990099009901
0.20362903225806453,0.9901960784313726
0.2056451612903226,0.9902912621359223
0.20766129032258066,0.9903846153846154
0.20967741935483872,0.9904761904761905
0.21169354838709678,0.9905660377358491
0.21169354838709678,0.9813084112149533
0.21370967741935484,0.9814814814814815
0.2157258064516129,0.981651376146789
0.21774193548387097,0.9818181818181818
0.21975806451612903,0.9819819819819819
0.2217741935483871,0.9821428571428571
0.22379032258064516,0.9823008849557522
0.22580645161290322,0.9824561403508771
0.22782258064516128,0.9826086956521739
0.22983870967741934,0.9827586206896551
0.2318548387096774,0.9829059829059829
0.23387096774193547,0.9830508474576272
0.23588709677419356,0.9831932773109243
0.23790322580645162,0.9833333333333333
0.2399193548387097,0.9834710743801653
