fpr,tpr
0.0,0.0
0.0,0.0020161290322580645
0.0,0.004032258064516129
0.0,0.006048387096774193
0.0,0.008064516129032258
0.0,0.010080645161290322
0.0,0.012096774193548387
0.0,0.014112903225806451
0.0,0.016129032258064516
0.0,0.018145161290322582
0.0,0.020161290322580645
0.0,0.02217741935483871
0.0,0.024193548387096774
0.0,0.02620967741935484
0.0,0.028225806451612902
0.0,0.03024193548387097
0.0,0.03225806451612903
0.0,0.034274193548387094
0.0,0.036290322580645164
0.0,0.038306451612903226
0.0,0.04032258064516129
0.0,0.04233870967741935
0.0,0.04435483870967742
0.0,0.046370967741935484
0.0,0.04838709677419355
0.0,0.05040322580645161
0.0,0.05241935483870968
0.0,0.05443548387096774
0.0,0.056451612903225805
0.0,0.05846774193548387
0.0,0.06048387096774194
0.0,0.0625
0.0,0.06451612903225806
0.0,0.06653225806451613
0.0,0.06854838709677419
0.0,0.07056451612903226
0.0,0.07258064516129033
0.0,0.07459677419354839
0.0,0.07661290322580645
0.0,0.07862903225806452
0.0,0.08064516129032258
0.0,0.08266129032258064
0.0,0.0846774193548387
0.0,0.08669354838709678
0.0,0.08870967741935484
0.0,0.0907258064516129
0.0,0.09274193548387097
0.0,0.09475806451612903
0.0,0.0967741935483871
0.0,0.09879032258064516
0.0,0.10080645161290322
0.0,0.1028225806451613
0.0,0.10483870967741936
0.0,0.10685483870967742
0.0,0.10887096774193548
0.0,0.11088709677419355
0.0,0.11290322580645161
0.0,0.11491935483870967
0.0,0.11693548387096774
0.0,0.11895161290322581
0.0,0.12096774193548387
0.0,0.12298387096774194
0.0,0.125
0.0,0.12701612903225806
0.0,0.12903225806451613
0.0,0.1310483870967742
0.0,0.13306451612903225
0.0,0.1350806451612903
0.0,0.13709677419354838
0.0,0.13911290322580644
0.0,0.14112903225806453
0.0,0.1431451612903226
0.0,0.14516129032258066
0.0,0.14717741935483872
0.0,0.14919354838709678
0.0,0.15120967741935484
0.0,0.1532258064516129
0.0,0.15524193548387097
0.0,0.15725806451612903
0.0,0.1592741935483871
