epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.4086927603288211,0.48836461793770025,0.8121664887940235,0.7574468085106383
2,0.27158890736712743,0.40009475912467796,0.9039487726787621,0.825531914893617
3,0.18067475164059743,0.2893794288823475,0.9583778014941302,0.8595744680851064
4,0.13809412073483276,0.2637516845012408,0.9786552828175027,0.8723404255319149
5,0.10682397924376216,0.2400860680983974,0.9882604055496265,0.8978723404255319
6,0.09503002457963552,0.26487584885690013,0.9797225186766275,0.902127659574468
7,0.07468196969942496,0.21794354656197723,0.9946638207043756,0.9106382978723404
8,0.06327347846298162,0.24032250571025485,0.9978655282817502,0.8978723404255319
9,0.04702525270938693,0.20561092155154992,0.9978655282817502,0.9191489361702128
10,0.040159036473380795,0.19818315065435177,1.0,0.9234042553191489
11,0.0421599671789743,0.2275707511784044,0.9978655282817502,0.9191489361702128
12,0.03443170489288083,0.2252531983553939,0.9989327641408752,0.9148936170212766
13,0.024400607202562794,0.19336513166703337,1.0,0.9234042553191489
14,0.0211627796860419,0.20249897387544102,1.0,0.9191489361702128
15,0.01884061304448951,0.19466685897979402,1.0,0.9276595744680851
16,0.01639962850198953,0.1959255101570355,1.0,0.9319148936170213
17,0.01496306365084743,0.19480457254132483,1.0,0.9234042553191489
18,0.013442315720209876,0.20492439171378374,1.0,0.9276595744680851
19,0.011893476036487367,0.1955274650458157,1.0,0.9234042553191489
20,0.011432476713080631,0.1900032219335945,1.0,0.9276595744680851
21,0.010324352783048609,0.20483124017647264,1.0,0.9148936170212766
22,0.008846048832167889,0.19148479371243057,1.0,0.9234042553191489
23,0.00831034437540368,0.19380501151285953,1.0,0.9319148936170213
24,0.00746945491101892,0.19256312085661978,1.0,0.9191489361702128
25,0.006939374941843027,0.19363834012002581,1.0,0.9319148936170213
26,0.006422816965508581,0.1944927457136497,1.0,0.9234042553191489
27,0.0059581466537760855,0.19453605545599054,1.0,0.9234042553191489
28,0.005532844127059509,0.19742551775378758,1.0,0.9234042553191489
29,0.005303600125748027,0.1942234534452851,1.0,0.9234042553191489
30,0.004977862826777065,0.20033310941331411,1.0,0.9276595744680851
31,0.004618109728218219,0.19489005141032728,1.0,0.9191489361702128
32,0.004603620810922126,0.19093905506742354,1.0,0.9234042553191489
33,0.004062470694711915,0.1972622753802844,1.0,0.9234042553191489
34,0.003937537432688281,0.20189461451594143,1.0,0.9191489361702128
35,0.003640050293138466,0.19474038303623048,1.0,0.9234042553191489
36,0.003451511316997768,0.20082264156072402,1.0,0.9234042553191489
37,0.0032970125728027755,0.19644854212008897,1.0,0.9234042553191489
38,0.003162459224096337,0.1969192803048645,1.0,0.9234042553191489
39,0.003004459063111793,0.2040267631308049,1.0,0.9234042553191489
40,0.0028390061691476115,0.200289476919565,1.0,0.9234042553191489
41,0.0027286296088041544,0.20194744850206525,1.0,0.9234042553191489
42,0.0026110077952433536,0.19954946651151348,1.0,0.9191489361702128
43,0.0025012237186854635,0.2033476543027126,1.0,0.9276595744680851
44,0.00240959593860687,0.2028041350181194,1.0,0.9234042553191489
45,0.002320481447001635,0.20414375092261083,1.0,0.9276595744680851
46,0.0022745600113372993,0.1999140642744453,1.0,0.9276595744680851
47,0.002154364765936146,0.20601943908242176,1.0,0.9276595744680851
48,0.0020818220635820854,0.20093042549576604,1.0,0.9234042553191489
49,0.0020168787693310335,0.20602870100906845,1.0,0.9276595744680851
50,0.0019483915750275857,0.2009476067408357,1.0,0.9191489361702128
51,0.0018679306215350184,0.20736485988214018,1.0,0.9234042553191489
52,0.001817162700310286,0.20463666097438185,1.0,0.9191489361702128
53,0.0018153731805861423,0.21069972807681067,1.0,0.9191489361702128
54,0.001724885506563996,0.2031436627162883,1.0,0.9191489361702128
55,0.0016690940304388763,0.20780747926260748,1.0,0.9234042553191489
56,0.0015978420968363373,0.207136743310754,1.0,0.9191489361702128
57,0.0015491476434502857,0.20624147733350598,1.0,0.9234042553191489
58,0.0015111907938467981,0.20551244302590527,1.0,0.9191489361702128
59,0.0014801503976175992,0.20822277865631217,1.0,0.9234042553191489
60,0.0014378626966416398,0.20353505776935485,1.0,0.9191489361702128
61,0.0013922014103364725,0.20875791712773223,1.0,0.9234042553191489
62,0.0013716693840081582,0.20723061343179425,1.0,0.9148936170212766
63,0.0013232565046349017,0.20687282112236313,1.0,0.9276595744680851
64,0.0012878724626832385,0.2101915230468244,1.0,0.9234042553191489
65,0.0012584509772110588,0.2099423573911111,1.0,0.9234042553191489
66,0.0012326897839089444,0.20581262590401286,1.0,0.9234042553191489
67,0.0012013333343921199,0.2101229162765611,1.0,0.9191489361702128
68,0.0011824598418604655,0.21098817711072465,1.0,0.9276595744680851
69,0.0011478639477867133,0.20969158278136651,1.0,0.9191489361702128
70,0.001124838350650954,0.20907084748418628,1.0,0.9191489361702128
71,0.0011030448191557576,0.2111596608512821,1.0,0.9234042553191489
72,0.0010805037750476103,0.20986967787546726,1.0,0.9276595744680851
73,0.0010580185616238405,0.21021806826366463,1.0,0.9191489361702128
74,0.0010383799088004829,0.20938656506069192,1.0,0.9191489361702128
75,0.0010205405640294363,0.21227799513289963,1.0,0.9234042553191489
76,0.0010030034803859703,0.21310727083049028,1.0,0.9276595744680851
77,0.0009846723743091432,0.21027770283367758,1.0,0.9148936170212766
78,0.0009646756805339609,0.2100668462266877,1.0,0.9234042553191489
79,0.0009487330418038527,0.21160119479942965,1.0,0.9148936170212766
80,0.0009325479224110461,0.2104834153525314,1.0,0.9191489361702128
81,0.0009194689283323831,0.2098807885348792,1.0,0.9276595744680851
82,0.0009009776663717328,0.21272252075837228,1.0,0.9191489361702128
83,0.0008891177300627275,0.2145829579216869,1.0,0.9276595744680851
84,0.0008744886363985112,0.2116414866765021,1.0,0.9191489361702128
85,0.0008635794618600867,0.21274039968125058,1.0,0.9276595744680851
86,0.0008466360039107925,0.21170239375685165,1.0,0.9191489361702128
87,0.0008341329225296526,0.21145836978207613,1.0,0.9191489361702128
88,0.0008240631898744331,0.213856542075187,1.0,0.9234042553191489
89,0.0008109805524038254,0.21294969391065932,1.0,0.9191489361702128
90,0.0008008604118454148,0.21194317584174732,1.0,0.9191489361702128
91,0.0007881748212926203,0.21367763091781763,1.0,0.9276595744680851
92,0.0007793463734430635,0.21466406789890247,1.0,0.9234042553191489
93,0.0007693637317067293,0.21069771940406873,1.0,0.9191489361702128
94,0.0007579872271919173,0.2133357632665957,1.0,0.9191489361702128
95,0.0007505296434001,0.21352488572002656,1.0,0.9276595744680851
96,0.0007396926183268165,0.21320615177576635,1.0,0.9234042553191489
97,0.0007315662354524766,0.2117632025090176,1.0,0.9191489361702128
98,0.0007220692938397766,0.21246328542799892,1.0,0.9191489361702128
99,0.0007143279130500437,0.214369572266931,1.0,0.9276595744680851
100,0.0007058938754514674,0.2135484656983648,1.0,0.9234042553191489
101,0.0007005012457258137,0.21129783547255204,1.0,0.9234042553191489
102,0.0006958779135766338,0.2159971041793067,1.0,0.9276595744680851
103,0.0006845273962454712,0.21262836806026927,1.0,0.9234042553191489
104,0.0006754833060085032,0.21362905170741586,1.0,0.9234042553191489
105,0.0006681583397114334,0.2133880909250437,1.0,0.9276595744680851
106,0.0006628387337026119,0.2137648982820348,1.0,0.9234042553191489
107,0.0006569611028470029,0.2151517347629142,1.0,0.9319148936170213
108,0.0006493742863174507,0.21515677426956273,1.0,0.9276595744680851
109,0.0006442291156645449,0.2123459257352788,1.0,0.9276595744680851
110,0.0006385452342501808,0.2168170525230449,1.0,0.9234042553191489
111,0.0006320221312177658,0.21331365714060868,1.0,0.9319148936170213
112,0.0006266000582481909,0.21549194544356204,1.0,0.9276595744680851
113,0.0006207207890527465,0.21418288469332167,1.0,0.9319148936170213
114,0.0006227511820659639,0.2178579445623447,1.0,0.9234042553191489
115,0.0006087836598644613,0.2143517802573662,1.0,0.9276595744680851
116,0.000603280855922607,0.21259912473895556,1.0,0.9276595744680851
117,0.0005994339955335143,0.213149598602965,1.0,0.9276595744680851
118,0.0005976624638055465,0.21633920026332903,1.0,0.9234042553191489
119,0.0005895696083611839,0.21546590342764102,1.0,0.9276595744680851
120,0.0005840354008576139,0.2135410204357257,1.0,0.9319148936170213
121,0.0005796410201535314,0.21413542719259412,1.0,0.9319148936170213
122,0.000575158999778348,0.2150943016720791,1.0,0.9276595744680851
123,0.0005717515086464053,0.21419608616172583,1.0,0.9191489361702128
124,0.0005669956294495826,0.2129954087899734,1.0,0.9234042553191489
125,0.0005620227988926012,0.2130836808129373,1.0,0.9319148936170213
126,0.0005584482524451746,0.21636146067710513,1.0,0.9319148936170213
127,0.0005546312156806014,0.21467782502875907,1.0,0.9319148936170213
128,0.0005508755260788984,0.21442959011218737,1.0,0.9276595744680851
129,0.0005494637670105753,0.21188009975173513,1.0,0.9191489361702128
130,0.0005572326670645005,0.21729424983336837,1.0,0.9234042553191489
131,0.0005451162994425776,0.213281113590165,1.0,0.9148936170212766
132,0.0005375299198762727,0.21546460196225264,1.0,0.9276595744680851
133,0.0005316582566313691,0.2159388366107614,1.0,0.9276595744680851
134,0.0005315019012844264,0.2107358707427802,1.0,0.9234042553191489
135,0.0005233160821384449,0.2149302763003839,1.0,0.9276595744680851
136,0.0005224932555178088,0.21370464846216278,1.0,0.9234042553191489
137,0.0005195640359510113,0.2131733838925018,1.0,0.9276595744680851
138,0.0005179347681133101,0.212659428396924,1.0,0.9276595744680851
139,0.0005138122286183944,0.2160268256748819,1.0,0.9276595744680851
140,0.0005264902309618765,0.20785907307663898,1.0,0.9191489361702128
