roi_index,roi_name,n,mean_evidence_drop,median_evidence_drop,std_evidence_drop,prediction_change_rate,mean_dynamic_roi_pixels,missing_yunet_count
7,perioral_mouth,1171,0.07467062238364836,0.003835439682006836,0.21764255408933522,0.0982066609735269,171.34842015371478,0
1,upper_brow_forehead,1171,0.06418222598938302,0.002032756805419922,0.20273221818255352,0.08283518360375747,230.30145175064047,0
3,right_periocular,1171,0.04438187368232149,0.0013865828514099121,0.16232397667044995,0.059777967549103334,123.73783091374894,0
5,left_cheek_zygomatic,1171,0.04196171214077129,0.0007414817810058594,0.18003757742667167,0.06917164816396243,139.95559350982066,0
4,nasal_midface,1171,0.04090033061297357,0.0007343888282775879,0.14120321374051983,0.04696840307429547,79.9530315969257,0
6,right_cheek_zygomatic,1171,0.038009784010177156,0.0025809407234191895,0.1386963491713111,0.04696840307429547,149.49103330486764,0
2,left_periocular,1171,0.035045349758481656,0.0008886456489562988,0.1376001052777849,0.05038428693424424,123.96754910333048,0
8,chin_mandible,1171,0.01518193891264095,0.00018674135208129883,0.10045770600615922,0.034158838599487616,52.9265584970111,0
