y_true,roi_index,roi_name,n,mean_evidence_drop,median_evidence_drop,std_evidence_drop,q25_evidence_drop,q75_evidence_drop,prediction_change_rate,mean_true_conf_original,mean_true_conf_masked,mean_dynamic_roi_pixels,missing_yunet_count
0,1,upper_brow_forehead,675,0.08850188829280713,0.0049860477447509766,0.21663583824272778,-0.00014632940292358398,0.07293835282325745,0.09037037037037036,0.9529922755559286,0.8644903872631214,240.01185185185184,0
0,3,right_periocular,675,0.05671422446215594,0.0011816620826721191,0.17063884186084896,-0.0006819963455200195,0.02935791015625,0.06814814814814815,0.9529922755559286,0.8962780510937726,123.1362962962963,0
0,7,perioral_mouth,675,0.049963826161843757,0.002579033374786377,0.15602223374240048,-0.0003285408020019531,0.02980637550354004,0.05333333333333334,0.9529922755559286,0.9030284493940848,167.82222222222222,0
0,2,left_periocular,675,0.04380458293137727,0.0018615126609802246,0.1349333322083867,-0.0003866851329803467,0.02940031886100769,0.044444444444444446,0.9529922755559286,0.9091876926245512,123.3837037037037,0
0,6,right_cheek_zygomatic,675,0.037780917308948656,0.0028802156448364258,0.1288094139644104,-0.00012230873107910156,0.03034520149230957,0.037037037037037035,0.9529922755559286,0.9152113582469799,148.6977777777778,0
0,4,nasal_midface,675,0.03390621229454323,0.000710606575012207,0.12303772983166202,-0.0009022057056427002,0.017629563808441162,0.03111111111111111,0.9529922755559286,0.9190860632613853,79.46666666666667,0
0,8,chin_mandible,675,0.026456664314976445,0.0006206631660461426,0.09513135404665325,-0.00022861361503601074,0.012917786836624146,0.02962962962962963,0.9529922755559286,0.9265356112409521,46.40296296296296,0
0,5,left_cheek_zygomatic,675,0.02536095822298968,0.0005204677581787109,0.13073359746712965,-0.0022169649600982666,0.017262011766433716,0.035555555555555556,0.9529922755559286,0.9276313173329389,137.70222222222222,0
1,7,perioral_mouth,496,0.10829378256453163,0.008420944213867188,0.277219147435275,-1.1026859283447266e-06,0.11323219537734985,0.1592741935483871,0.893511949365098,0.7852181671540325,176.14717741935485,0
1,5,left_cheek_zygomatic,496,0.06455346394420391,0.0016258955001831055,0.22903018613299578,-0.00022643804550170898,0.053363949060440063,0.11491935483870967,0.893511949365098,0.8289584854240774,143.02217741935485,0
1,4,nasal_midface,496,0.05041853598583745,0.0008854866027832031,0.16234835203937212,-0.0005370378494262695,0.0400284081697464,0.06854838709677419,0.893511949365098,0.8430934130749612,80.6149193548387,0
1,6,right_cheek_zygomatic,496,0.0383212457507603,0.002040952444076538,0.15125008952303015,-0.00013402104377746582,0.030169809702783823,0.06048387096774194,0.893511949365098,0.8551907036161022,150.57056451612902,0
1,1,upper_brow_forehead,496,0.031085911362747392,0.0003203451633453369,0.17703125528810262,-0.0016346604097634554,0.023031100630760193,0.07258064516129033,0.893511949365098,0.8624260379105503,217.0866935483871,0
1,3,right_periocular,496,0.02759893663315163,0.0017315149307250977,0.14880519667700598,-0.0004923641681671143,0.026771903038024902,0.04838709677419355,0.893511949365098,0.8659130129028141,124.55645161290323,0
1,2,left_periocular,496,0.023125022355851534,0.0001596510410308838,0.14040881702051983,-0.0015538930892944336,0.010764911770820618,0.05846774193548387,0.893511949365098,0.8703869271850283,124.76209677419355,0
1,8,chin_mandible,496,-0.00016168940706965288,6.794929504394531e-06,0.10545800170815466,-0.00571848452091217,0.0044248104095458984,0.04032258064516129,0.893511949365098,0.8936736387941275,61.80443548387097,0
