upper_brow_forehead__mean,upper_brow_forehead__std,upper_brow_forehead__p10,upper_brow_forehead__p90,upper_brow_forehead__grad_mean,left_periocular__mean,left_periocular__std,left_periocular__p10,left_periocular__p90,left_periocular__grad_mean,right_periocular__mean,right_periocular__std,right_periocular__p10,right_periocular__p90,right_periocular__grad_mean,nasal_midface__mean,nasal_midface__std,nasal_midface__p10,nasal_midface__p90,nasal_midface__grad_mean,left_cheek_zygomatic__mean,left_cheek_zygomatic__std,left_cheek_zygomatic__p10,left_cheek_zygomatic__p90,left_cheek_zygomatic__grad_mean,right_cheek_zygomatic__mean,right_cheek_zygomatic__std,right_cheek_zygomatic__p10,right_cheek_zygomatic__p90,right_cheek_zygomatic__grad_mean,perioral_mouth__mean,perioral_mouth__std,perioral_mouth__p10,perioral_mouth__p90,perioral_mouth__grad_mean,chin_mandible__mean,chin_mandible__std,chin_mandible__p10,chin_mandible__p90,chin_mandible__grad_mean,sample_index_train,y_true
0.43346143,0.18681037,0.1756221,0.67619413,0.06653987,0.46046698,0.14966834,0.24197417,0.6503645,0.11166219,0.32512888,0.100331835,0.20762345,0.41149282,0.0703687,0.4435041,0.1396198,0.31651124,0.67442656,0.083947554,0.5541732,0.083476335,0.4486438,0.6528481,0.06750747,0.40060595,0.12752467,0.32029098,0.5923122,0.050293755,0.31047964,0.052192647,0.2624013,0.40429747,0.032219384,0.33588818,0.07130969,0.28203633,0.4277073,0.045238685,11,0
0.40413472,0.19839375,0.122351944,0.68406385,0.08298351,0.2770388,0.06355534,0.18540663,0.34662268,0.0504599,0.4847263,0.13291496,0.29392713,0.6218988,0.08144869,0.50537425,0.14511111,0.2823232,0.67181444,0.10143183,0.33110172,0.087354176,0.2418229,0.45528772,0.041961197,0.5153337,0.1258323,0.31517905,0.67105496,0.06503948,0.3186473,0.065352716,0.25793213,0.4262256,0.033331715,0.2934683,0.0881768,0.22223754,0.4254904,0.039348774,12,1
0.23515838,0.0722616,0.11596599,0.3163681,0.035336528,0.18330091,0.05263534,0.1058571,0.25110528,0.03779751,0.25316447,0.07602915,0.15185185,0.36249062,0.043464217,0.2505135,0.038683895,0.20060152,0.2976545,0.025804896,0.21515234,0.06152457,0.13675335,0.2885616,0.032322213,0.28089482,0.04878983,0.21951762,0.34152144,0.02655615,0.16410434,0.037683323,0.11197637,0.21885468,0.020909641,0.19528753,0.034336407,0.16040754,0.23138419,0.020452766,13,1
0.45664907,0.19855511,0.16791977,0.70783067,0.08707393,0.3348202,0.08102853,0.23811394,0.43163484,0.06725339,0.4968646,0.12811309,0.31084627,0.64208657,0.07505034,0.55823,0.11905357,0.37342066,0.6816459,0.07688378,0.37922204,0.08394012,0.2787087,0.4912951,0.046442457,0.5373216,0.1113312,0.3797155,0.69976115,0.0550488,0.36627883,0.073462486,0.27798557,0.46545452,0.038004454,0.32869026,0.07936497,0.262204,0.45440483,0.04345727,14,1
0.32304367,0.17630287,0.095550455,0.5821964,0.059737626,0.23321725,0.0618409,0.14163892,0.3100542,0.045109272,0.39575797,0.1746207,0.15283798,0.633522,0.0997356,0.44666696,0.16644023,0.24586147,0.6656692,0.119814634,0.28927907,0.078610495,0.21604678,0.36562344,0.039062407,0.4270647,0.13272162,0.223952,0.5968224,0.06112847,0.20664635,0.027422847,0.16789225,0.23806389,0.020245006,0.24899916,0.05023559,0.20529525,0.28736767,0.024665495,15,1
0.25690982,0.07278452,0.14512993,0.3117441,0.03495792,0.22467494,0.06581323,0.12896973,0.31792748,0.042274382,0.30188736,0.1465581,0.14205694,0.54102784,0.06710318,0.2661026,0.029213348,0.23158428,0.29584432,0.01858213,0.29755795,0.12212451,0.20082197,0.43100315,0.04485923,0.3118223,0.13003065,0.20747788,0.48885995,0.045086626,0.20651603,0.022640446,0.17552243,0.23776147,0.017541518,0.23245136,0.029606225,0.19984841,0.26985195,0.019837331,16,1
0.2772728,0.086816765,0.13334636,0.37083963,0.03956573,0.22169586,0.06482705,0.13402846,0.31678072,0.04602127,0.30259794,0.0936345,0.17310613,0.43373945,0.052675623,0.2983677,0.043591414,0.23785155,0.3529935,0.029585406,0.27357835,0.08806644,0.1799051,0.36817107,0.040693223,0.32159677,0.07503369,0.22290844,0.42068493,0.03501738,0.21272932,0.039052133,0.16366212,0.2625062,0.021823218,0.23050213,0.04940495,0.18816777,0.2853517,0.025365487,17,1
0.44258797,0.18563426,0.13001856,0.63305277,0.06522142,0.4786899,0.11735219,0.30074725,0.62657696,0.06772346,0.41070858,0.07045696,0.30309948,0.52479446,0.03157865,0.41515023,0.1350639,0.25416204,0.60265744,0.06865002,0.46227068,0.10890885,0.35493767,0.6134543,0.062014617,0.3545486,0.03595703,0.30929407,0.4009721,0.020208891,0.41779813,0.064640574,0.34362423,0.50491387,0.049137626,0.32465568,0.052624833,0.26434535,0.37737757,0.03202284,18,0
0.28301242,0.15424907,0.078835204,0.45582545,0.04883246,0.38741544,0.14942694,0.20650165,0.52489156,0.08858773,0.29692385,0.044644285,0.26372933,0.37303594,0.019843502,0.28943512,0.096785255,0.17470808,0.4370065,0.036457304,0.36325067,0.12476096,0.25996214,0.49140912,0.07546105,0.24999988,0.032675616,0.20995107,0.2957217,0.016204644,0.3026498,0.054545514,0.24448584,0.3747307,0.035624705,0.23208061,0.040653724,0.18903469,0.27443734,0.026646152,19,0
0.44007555,0.14787002,0.15602419,0.5851762,0.05288822,0.39337158,0.09853731,0.24698955,0.5258379,0.0562899,0.35678738,0.076816924,0.2543835,0.4561025,0.037139926,0.41550535,0.11541191,0.23415855,0.5520047,0.07600432,0.38744393,0.08803521,0.31638148,0.5297469,0.050297014,0.3165224,0.07711102,0.2709461,0.34563327,0.040351737,0.32185042,0.057699118,0.26669586,0.39668635,0.038174562,0.25231463,0.063888334,0.13501184,0.31337622,0.030677438,20,0
0.43898544,0.15062508,0.14030088,0.5945383,0.054152668,0.38963687,0.10187504,0.2349784,0.53036463,0.06495994,0.36092275,0.08497817,0.2528354,0.4441496,0.044902485,0.36925784,0.11042047,0.21122578,0.5017704,0.07500585,0.4002392,0.09748574,0.30651146,0.54113907,0.05777804,0.32768634,0.09042968,0.26713425,0.36946326,0.041371733,0.3056919,0.049928088,0.26077732,0.37586468,0.034054738,0.23412585,0.061110068,0.13951775,0.29180115,0.03337639,21,0
0.47963557,0.14569871,0.21728617,0.63623244,0.06321988,0.3950019,0.103193976,0.23971722,0.52277684,0.060173802,0.34123206,0.099517845,0.21302722,0.4901961,0.050594755,0.4982583,0.11167939,0.37312832,0.6155361,0.08986752,0.36749133,0.067654885,0.29699886,0.4582932,0.045222998,0.37044656,0.1270209,0.2839924,0.5336362,0.06456195,0.32825172,0.077540845,0.25656155,0.45303056,0.048795443,0.25224942,0.05157086,0.18425338,0.3017967,0.025961291,22,0
0.36428264,0.12960014,0.129081,0.49915898,0.039962184,0.36411858,0.078099586,0.24567528,0.46329352,0.050253253,0.30679697,0.04422368,0.25537148,0.3803334,0.02070736,0.2985811,0.086628266,0.20762536,0.44918627,0.038768698,0.37264594,0.07336998,0.29577506,0.4663778,0.050251037,0.26663703,0.029819524,0.22648716,0.30580792,0.016923664,0.30523387,0.042422537,0.25672162,0.37539735,0.027034147,0.24888308,0.053792395,0.16617018,0.30911374,0.026546303,23,0
0.5130224,0.1571875,0.24308935,0.68066454,0.06991854,0.41556016,0.104522325,0.25279456,0.5330685,0.0665676,0.3463989,0.09950265,0.20921074,0.47788548,0.05881112,0.51291794,0.121006265,0.3313052,0.65371656,0.09114311,0.3756892,0.092608236,0.29906794,0.5211483,0.06468142,0.3262255,0.084458604,0.24528047,0.42431012,0.0484745,0.26141223,0.03692484,0.22866222,0.30556968,0.034484863,0.19345024,0.05674247,0.12496034,0.27390903,0.040209018,24,0
0.35484207,0.14860806,0.08422711,0.5126203,0.041476917,0.3441644,0.10945932,0.20732455,0.4822555,0.07641586,0.28399152,0.04429045,0.2360616,0.35366252,0.01986543,0.26788145,0.08478727,0.16622111,0.42144722,0.040584885,0.36509976,0.082346156,0.284415,0.47913128,0.0644531,0.24124844,0.025839439,0.20677921,0.27502352,0.014963856,0.25348923,0.035278738,0.21226107,0.30826178,0.024520772,0.20168503,0.05164707,0.10273433,0.25272906,0.028715122,25,0
0.5958316,0.099184416,0.46976048,0.7317345,0.03560685,0.36908877,0.11558574,0.2399102,0.51743937,0.05627953,0.37976655,0.11217801,0.2233703,0.5249089,0.05366691,0.5025402,0.08875626,0.39457095,0.624866,0.07949449,0.36251011,0.07526789,0.2903878,0.42874333,0.048275452,0.36638322,0.051002067,0.30000287,0.4261679,0.032101385,0.33978665,0.052300476,0.27772212,0.40846834,0.035846993,0.29892105,0.033990476,0.25220853,0.33921665,0.025520682,26,1
0.6227673,0.09419399,0.5088177,0.7570291,0.033050895,0.42187262,0.09136986,0.31531093,0.54709893,0.04128521,0.42591175,0.09533282,0.307536,0.5583,0.039658878,0.5265985,0.07932233,0.43012464,0.61136043,0.06542183,0.3916459,0.07678954,0.3195678,0.4490446,0.048111502,0.37999538,0.049645256,0.32251507,0.43689588,0.033336066,0.3674797,0.047960114,0.31676748,0.44152057,0.035618104,0.3144186,0.04583774,0.24995369,0.35918438,0.03094492,27,1
0.54946667,0.07858826,0.47193378,0.66256297,0.029975498,0.39299402,0.093678094,0.2727528,0.5243135,0.043874916,0.37466058,0.07849985,0.28694692,0.48709998,0.03293237,0.45396063,0.095614605,0.32873023,0.5594667,0.06030259,0.38169852,0.10448989,0.2838979,0.47944325,0.06949617,0.32505864,0.062348053,0.25544512,0.35905653,0.0372183,0.33469528,0.04986664,0.2795555,0.4112249,0.041607365,0.2693036,0.038690064,0.2082777,0.3057894,0.023771623,28,1
0.5921724,0.0870786,0.49175364,0.7125362,0.038398825,0.432436,0.09176792,0.29859447,0.53903496,0.0478786,0.4217298,0.084070325,0.30801338,0.5067441,0.04515368,0.48077437,0.09741046,0.36124355,0.6121264,0.061818223,0.4232436,0.105415635,0.33458823,0.53497744,0.05988781,0.43348134,0.14398347,0.325337,0.76938224,0.04997441,0.3610332,0.033542592,0.3265967,0.41533077,0.02366315,0.3105532,0.04157191,0.24491897,0.3482849,0.024664383,29,1
0.4363885,0.06284923,0.36982062,0.53257006,0.029895984,0.33043188,0.06745784,0.22321129,0.39190087,0.036607444,0.32400835,0.059599288,0.23259759,0.37760085,0.030391414,0.32464036,0.067673534,0.23311983,0.4164979,0.03985479,0.36056617,0.10551677,0.2720486,0.5596074,0.045897745,0.32658657,0.098551504,0.26532838,0.35523215,0.032419767,0.28594932,0.02497073,0.2529504,0.31366116,0.01734,0.2425433,0.03777343,0.18466492,0.28400096,0.025601974,30,1
0.47499216,0.05160927,0.4166142,0.55455846,0.02195777,0.41294748,0.107363105,0.28326082,0.5311411,0.050223716,0.3920396,0.026994642,0.3573806,0.4196721,0.019319652,0.34007636,0.07622539,0.22297691,0.41770387,0.035255533,0.4254872,0.1295036,0.2903443,0.6583936,0.049535777,0.38537735,0.08045969,0.33290184,0.41029906,0.038262676,0.34381625,0.03583025,0.30104524,0.38929343,0.02793484,0.289391,0.05540969,0.21957697,0.34064013,0.04071061,31,1
0.5490205,0.093835175,0.44517475,0.68503225,0.041102465,0.38844857,0.086725086,0.26321545,0.48736885,0.04328163,0.3900462,0.102959126,0.26748836,0.48110706,0.04729279,0.40500277,0.10249696,0.27219576,0.5127068,0.059531868,0.38948238,0.103226624,0.30024442,0.49576253,0.0474899,0.37897423,0.12904137,0.29007643,0.58863425,0.044105425,0.3255245,0.03208654,0.27477115,0.37231964,0.022537854,0.2959574,0.023736464,0.26225707,0.32462847,0.019712467,32,1
0.58782035,0.100095905,0.47286934,0.7352322,0.034874868,0.4043762,0.105414376,0.28213128,0.55782914,0.04913324,0.3875381,0.08582618,0.27538097,0.5146488,0.044399146,0.465259,0.10229168,0.3261232,0.58735704,0.0570513,0.33616152,0.10070497,0.1523678,0.425658,0.048656546,0.32778394,0.078130595,0.24281621,0.4031403,0.036532592,0.35023344,0.038272146,0.30929387,0.39926383,0.030083751,0.27643463,0.077145055,0.17849453,0.34913456,0.053933494,33,1
0.5754029,0.09683674,0.4641266,0.68795097,0.034371104,0.40155762,0.10541152,0.26768816,0.5477201,0.053539675,0.3938235,0.09026275,0.286084,0.52474606,0.056438476,0.48394316,0.10958482,0.3299505,0.6108999,0.06587056,0.38524082,0.07179226,0.31569535,0.4719915,0.047762755,0.4102614,0.08399415,0.32632026,0.53749883,0.0456002,0.36343417,0.046276987,0.30435044,0.4253116,0.03452024,0.29607117,0.064856224,0.22351271,0.37437558,0.040389866,34,1
0.6316748,0.10680685,0.4985015,0.76322275,0.04135325,0.41279516,0.10633139,0.2956726,0.5719375,0.06414429,0.42607006,0.10392087,0.31270316,0.56113714,0.06380253,0.48620978,0.11794945,0.3107739,0.64119166,0.07836761,0.42308936,0.09083523,0.34191027,0.5466899,0.054783612,0.43199483,0.08359676,0.34456784,0.5041584,0.04465657,0.36834314,0.03548212,0.32575116,0.40969324,0.029892735,0.29329848,0.060766123,0.22519238,0.3768108,0.04001578,35,1
0.41163304,0.032032575,0.38344303,0.4623643,0.013614991,0.387019,0.08312923,0.2745772,0.46500942,0.040697258,0.3744869,0.059913777,0.27706215,0.44493294,0.028399706,0.3872928,0.025639737,0.35409272,0.41764647,0.016750136,0.3318441,0.104098305,0.20417586,0.43084854,0.052569244,0.31138745,0.09634483,0.16208974,0.39189312,0.0418815,0.29953146,0.03542591,0.2596137,0.34224594,0.02642106,0.25402293,0.085526414,0.10342846,0.3363338,0.03877287,36,0
0.62585866,0.07350781,0.5398254,0.7252985,0.032388452,0.4536409,0.08952838,0.33634606,0.57862324,0.044527702,0.4438897,0.0863665,0.3276693,0.5600084,0.048432536,0.5791087,0.07269012,0.49704343,0.67789805,0.072742544,0.41232866,0.106676735,0.28327143,0.51050115,0.053930514,0.3919046,0.119349316,0.15593624,0.4909516,0.054037724,0.35927308,0.035365578,0.31594607,0.4130991,0.03500651,0.29608184,0.10715838,0.11461785,0.39388388,0.044121645,37,0
0.6724314,0.079284385,0.56033903,0.7786679,0.03953393,0.4791973,0.09407567,0.3477882,0.59974694,0.050900962,0.4638446,0.08042893,0.36335286,0.5754165,0.039535612,0.5821727,0.09103118,0.4568989,0.676056,0.07242481,0.38657847,0.12208675,0.17556019,0.50043905,0.06278583,0.37749523,0.11397853,0.19205625,0.4786777,0.05599069,0.34831288,0.034512322,0.30331331,0.38807914,0.031623643,0.27632937,0.0979945,0.10323438,0.36031225,0.041107614,38,0
0.58800286,0.09866707,0.4718702,0.72975147,0.040302742,0.41479418,0.07778852,0.30100748,0.5064537,0.041206345,0.39865494,0.077578254,0.28479415,0.48418555,0.05008949,0.47507304,0.07549383,0.37485924,0.5657197,0.05856179,0.37197274,0.084939286,0.28650782,0.45921734,0.051599864,0.3354909,0.096443415,0.16879006,0.42809084,0.05159144,0.31745815,0.026508955,0.28495145,0.35234472,0.023020102,0.2591125,0.09160688,0.10322128,0.34189862,0.038699776,39,0
0.51554435,0.07100363,0.4333623,0.622535,0.032347996,0.42181158,0.08106432,0.30138338,0.51275176,0.043232843,0.46591017,0.16790943,0.2986842,0.8077481,0.08157101,0.40573925,0.042609975,0.34227663,0.4503611,0.02804302,0.4040447,0.0981404,0.31437442,0.48092932,0.053622715,0.35962483,0.13536938,0.15449566,0.46186978,0.06358617,0.335778,0.038622055,0.28463408,0.37944096,0.03309321,0.25309497,0.11498481,0.07373914,0.3682682,0.040842198,40,0
0.4855565,0.0775976,0.38538274,0.5914452,0.034161244,0.39129758,0.083264075,0.2923177,0.45155993,0.04609577,0.35486194,0.06100091,0.2698678,0.41491047,0.04200188,0.34773442,0.053426877,0.27174613,0.4010107,0.034358107,0.32204908,0.10132612,0.17475067,0.42672175,0.048867766,0.2674366,0.10043049,0.07739942,0.36719292,0.043688312,0.28474924,0.027733436,0.25605255,0.31818473,0.022823626,0.2178957,0.09507812,0.07065242,0.31897447,0.037562825,41,0
0.49826097,0.12756892,0.36919296,0.6773843,0.048033312,0.28180882,0.113186866,0.15442382,0.37998608,0.06654765,0.26239753,0.09573771,0.14400819,0.35160232,0.05417957,0.33335447,0.11890489,0.18273738,0.48611343,0.08686291,0.31839973,0.17560025,0.19356473,0.7268386,0.07084611,0.26740703,0.10210427,0.19321877,0.3448313,0.05252637,0.15294357,0.029778188,0.11581221,0.18702945,0.021445798,0.21199596,0.14295726,0.15032889,0.30274436,0.040108867,42,1
0.39812663,0.04474557,0.34597155,0.46261063,0.019466573,0.29843098,0.08604602,0.18798473,0.36778462,0.037997227,0.33740702,0.12917615,0.21025835,0.47318804,0.059656702,0.3012871,0.049384687,0.23593172,0.35779986,0.035480704,0.3283695,0.1306194,0.23447657,0.39488846,0.039126456,0.38189915,0.15210448,0.25902212,0.70099545,0.051402535,0.21601391,0.029809508,0.17477925,0.25723565,0.02661675,0.237778,0.034619577,0.20601676,0.2601435,0.025568644,43,1
