top_fraction,intersection_pixels,union_pixels,iou,dice
0.1,22,272,0.08088235294117647,0.14965986394557823
0.2,108,387,0.27906976744186046,0.43636363636363634
0.3,214,509,0.4204322200392927,0.5919778699861687
