roi_index,roi_name,n_occlusion,mean_evidence_drop,median_evidence_drop,prediction_change_rate,n_gradcam,mean_cam_energy_fraction,median_cam_energy_fraction,mean_cam,median_cam,mlp_mean_evidence_drop,rank_cnn_occlusion,rank_gradcam_energy,rank_difference
1,upper_brow_forehead,1171,0.06661179589427443,0.0022428035736083984,0.07514944491887275,1171,0.2038045274141348,0.1945442687279398,0.23511388409289474,0.21904896199703217,0.0491345881190776,1,1,0
3,right_periocular,1171,0.02270019057338594,0.00020699179731309414,0.02220324508966695,1171,0.1206987459927372,0.10731688383709834,0.2562457367031812,0.24123515188694,0.0263881802546322,2,3,1
6,right_cheek_zygomatic,1171,0.020956437630292802,4.470348358154297e-05,0.033304867634500426,1171,0.13614897920559663,0.12436358185959419,0.22977929620801357,0.21152348816394806,0.0447521322280769,3,2,-1
5,left_cheek_zygomatic,1171,0.0178030018894779,0.00012757825970766135,0.030742954739538857,1171,0.09821172133576843,0.08739108574237231,0.1710939725099519,0.14222431182861328,0.0405941208677181,4,4,0
2,left_periocular,1171,0.013422678074801506,0.00019423297089815605,0.024765157984628524,1171,0.08124317135253097,0.07434781344342765,0.1820448652340371,0.15905258059501648,0.0208288577560863,5,5,0
7,perioral_mouth,1171,0.013330779151665445,7.5934208325634245e-06,0.017933390264730998,1171,0.048142286461833696,0.04178197534025114,0.1578037089058898,0.13730591535568237,0.0131414854076896,6,7,1
8,chin_mandible,1171,0.009554027558131128,3.664280939119635e-05,0.01964133219470538,1171,0.05516233913231531,0.04533638073540607,0.13782138008393474,0.11690759658813477,0.0318418998874876,7,6,-1
4,nasal_midface,1171,0.008651888164762409,9.202957153320312e-05,0.015371477369769428,1171,0.04270566188958868,0.03157426019574884,0.159847313722286,0.1168856993317604,0.0256738611083293,8,8,0
