epoch,train_loss,val_loss,val_accuracy
1,0.7144614577293396,0.7054824233055115,0.7319148936170212
2,0.5996038953463236,0.5724849700927734,0.8127659574468085
3,0.5147993405659993,0.4794158637523651,0.8808510638297873
4,0.4420982261498769,0.40672507882118225,0.902127659574468
5,0.36513420939445496,0.3642725944519043,0.8978723404255319
6,0.30468236207962035,0.3109988570213318,0.9319148936170213
7,0.2562905083100001,0.27694156765937805,0.9234042553191489
8,0.2138834814230601,0.2719952464103699,0.9148936170212766
9,0.18876047035058338,0.2599281668663025,0.9106382978723404
10,0.15006685654322308,0.21692359447479248,0.9404255319148936
11,0.13755632787942887,0.22213847935199738,0.9404255319148936
12,0.10894083033005396,0.1908629685640335,0.9234042553191489
13,0.10018310621380806,0.181515634059906,0.9276595744680851
14,0.07455352892478308,0.18041716516017914,0.9276595744680851
15,0.07341503327091535,0.14854897558689117,0.9617021276595744
16,0.057818467666705446,0.16161808371543884,0.9446808510638298
17,0.040704042091965674,0.1326003521680832,0.9574468085106383
18,0.03834146596491337,0.16807684302330017,0.9404255319148936
19,0.037661997228860856,0.1386900693178177,0.9531914893617022
20,0.03030269481241703,0.12158414721488953,0.9659574468085106
21,0.025003807991743086,0.1499193012714386,0.9361702127659575
22,0.02393381738414367,0.11415495723485947,0.9659574468085106
23,0.02370769443611304,0.11697462201118469,0.9574468085106383
24,0.019295101364453632,0.13601787388324738,0.9531914893617022
25,0.016316586608688035,0.12706321477890015,0.9659574468085106
26,0.012701942212879657,0.13939683139324188,0.9404255319148936
27,0.014642635484536488,0.13150933384895325,0.948936170212766
28,0.014112338020155827,0.09498336166143417,0.9702127659574468
29,0.010638922111441691,0.0990886315703392,0.9702127659574468
30,0.00941107248266538,0.11310991644859314,0.9659574468085106
31,0.009929967609544595,0.10578203201293945,0.9702127659574468
32,0.007831625609348218,0.12698175013065338,0.9531914893617022
33,0.010428563598543406,0.12164341658353806,0.9531914893617022
34,0.008068849580983322,0.10096288472414017,0.9617021276595744
35,0.007038977618018786,0.08929954469203949,0.9702127659574468
36,0.0060358436312526464,0.09557940810918808,0.9659574468085106
37,0.005422794803356131,0.09139453619718552,0.9744680851063829
38,0.004420867515727877,0.10415735095739365,0.9617021276595744
39,0.005152172533174356,0.08886164426803589,0.9787234042553191
40,0.0056399571631724635,0.09857185184955597,0.9617021276595744
41,0.005075825549041232,0.09738211333751678,0.9617021276595744
42,0.0043504036962986,0.10086068511009216,0.9574468085106383
43,0.004540099358807007,0.092551589012146,0.9617021276595744
44,0.004202701337635517,0.08706236630678177,0.9617021276595744
45,0.0035504570075621206,0.09442160278558731,0.9659574468085106
46,0.003416789881885052,0.09530032426118851,0.9659574468085106
47,0.002879948712264498,0.09623146802186966,0.9659574468085106
48,0.002888254603991906,0.09755013138055801,0.9574468085106383
49,0.0026591451838612556,0.0921906977891922,0.9702127659574468
50,0.0022177377715706824,0.0962558314204216,0.9617021276595744
51,0.001970861037261784,0.09255900233983994,0.9617021276595744
52,0.0023233991193895537,0.09275636821985245,0.9617021276595744
53,0.002292415111636122,0.09501765668392181,0.9659574468085106
54,0.0022277936261768144,0.09499020874500275,0.9574468085106383
55,0.002057439445828398,0.09008754044771194,0.9617021276595744
56,0.001990258189228674,0.09506921470165253,0.9702127659574468
57,0.0017862533102743327,0.08880774676799774,0.9659574468085106
58,0.002294687352453669,0.11757750809192657,0.9702127659574468
59,0.002448917991326501,0.08717763423919678,0.9617021276595744
60,0.0018605734997739394,0.08490853756666183,0.9659574468085106
61,0.0019087021976398925,0.08672960847616196,0.9659574468085106
62,0.0020192844482759633,0.09069160372018814,0.9659574468085106
63,0.00230547480750829,0.08607516437768936,0.9659574468085106
64,0.00209765430384626,0.10358420014381409,0.9659574468085106
65,0.0014918564702384174,0.08683155477046967,0.9744680851063829
66,0.0016277782114533087,0.09462616592645645,0.9617021276595744
67,0.0012429134299357732,0.08873381465673447,0.9617021276595744
68,0.0033193603623658417,0.11226841062307358,0.9659574468085106
69,0.0020931184059008955,0.09154988825321198,0.9702127659574468
70,0.0016902758157812058,0.0919930711388588,0.9617021276595744
71,0.0017343968385830522,0.09801933914422989,0.9659574468085106
72,0.0012958387456213434,0.08656530827283859,0.9744680851063829
73,0.001204277784563601,0.08695647865533829,0.9702127659574468
74,0.0010188093913408617,0.08581835776567459,0.9659574468085106
75,0.001068259682506323,0.08594243228435516,0.9659574468085106
76,0.0009575653646606952,0.08647800236940384,0.9702127659574468
77,0.0011894282341624299,0.1053347960114479,0.9531914893617022
78,0.0007614822049314777,0.0960400179028511,0.9617021276595744
