roi_index,roi_name,n,mean_evidence_drop,median_evidence_drop,prediction_change_rate
1,upper_brow_forehead,1171,0.06661179589427443,0.0022428035736083984,0.07514944491887275
3,right_periocular,1171,0.02270019057338594,0.00020699179731309414,0.02220324508966695
6,right_cheek_zygomatic,1171,0.020956437630292802,4.470348358154297e-05,0.033304867634500426
5,left_cheek_zygomatic,1171,0.0178030018894779,0.00012757825970766135,0.030742954739538857
2,left_periocular,1171,0.013422678074801506,0.00019423297089815605,0.024765157984628524
7,perioral_mouth,1171,0.013330779151665445,7.5934208325634245e-06,0.017933390264730998
8,chin_mandible,1171,0.009554027558131128,3.664280939119635e-05,0.01964133219470538
4,nasal_midface,1171,0.008651888164762409,9.202957153320312e-05,0.015371477369769428
