roi_index,roi_name,pixel_count,mean_coefficient,mean_abs_coefficient,sum_abs_coefficient
1,upper brow,192,-0.00930813819026167,0.2136584814213538,41.02242843289993
2,left eye,98,-0.04573619178666083,0.2088623234481086,20.468507697914642
3,right eye,98,0.007906778691361955,0.1772943008393906,17.37484148226028
4,nasal midface,56,-0.03227784999608703,0.1745792968217901,9.776440622020246
5,left cheek,126,-0.013928753970349626,0.22046946726179315,27.779152874985936
6,right cheek,126,-0.01306568836915496,0.21661322609482117,27.293266487947466
7,mouth,64,0.025190080125560448,0.19776907503005836,12.657220801923735
8,chin,80,0.03896495284699249,0.15969511923213212,12.775609538570569
