flat_pixel_index,mean_pixel_evidence_drop,mean_pixel_evidence_drop_class0,mean_pixel_evidence_drop_class1
0,0.00014209617802407593,0.0001225932501256466,0.0001686375035205856
1,0.00033303649979643524,0.00046418295823968947,0.00015456107212230563
2,0.0007718681008554995,0.0009798052487894893,0.0004888892872259021
3,0.0009345566504634917,0.0005502654821611941,0.0014575334498658776
4,0.0007253001094795763,0.0004658270627260208,0.0010784132173284888
5,0.001107106450945139,0.0003976546286139637,0.002072590868920088
6,0.0006916155689395964,0.00025860450114123523,0.001280894735828042
7,0.00029388931579887867,0.0005074949003756046,3.1962915727490326e-06
8,0.0001465137756895274,0.00022267394524533302,4.286837429390289e-05
9,-0.00017248875519726425,0.0001653226208873093,-0.0006322119734250009
10,-0.00021838699467480183,0.0003318253147881478,-0.0009671638254076242
11,-0.00022569454449694604,-0.0002516882377676666,-0.00019032004638575017
12,-8.586153126088902e-05,-6.783644494134933e-05,-0.0001103916802094318
13,-3.8731675886083394e-05,-0.00013380376913119107,9.06507411855273e-05
14,0.00019844806229230016,0.0004884355003014207,-0.00019619207887444645
15,-0.00025007640942931175,-0.00012179065379314125,-0.0004246588214300573
16,-0.00026228197384625673,-4.019931657239795e-05,-0.0005645113997161388
17,-0.00017067085718736053,-7.638631359441206e-05,-0.0002989814674947411
18,-0.00012641516514122486,2.5562445443938486e-05,-0.0003332396154291928
19,-0.00010023159848060459,-0.00011103038559667766,-8.553564111934975e-05
20,-0.0002726407255977392,-0.0002937596873380244,-0.00024390019825659692
21,-0.0002958111581392586,-4.53257562185172e-05,-0.0006366936722770333
22,-0.00010199583630310372,-0.00019449614046607167,2.3886583221610636e-05
23,7.089201244525611e-05,5.530127600650303e-05,9.210924326907843e-05
24,0.00044518234790302813,0.00044491238077171147,0.00044554981286637485
25,0.0005673011182807386,0.0007944199023768306,0.00025821797316893935
26,0.00031369837233796716,0.0002629355003591627,0.0003827808250207454
27,0.000726913393009454,0.0007975760963745415,0.000630749564152211
28,0.0007448401302099228,0.0009694260079413652,0.00043920421740040183
29,0.0006877805572003126,0.0011176308616995811,0.00010280274000251666
30,3.843215017695911e-05,0.00011199129949091002,-6.167356332298368e-05
31,0.00015013248776085675,6.27859408268705e-05,0.00026900123339146376
32,0.00020340559422038496,-9.253722964785993e-05,0.0006061504245735705
33,0.00013356599083635956,5.105195305077359e-05,0.00024585830396972597
34,0.000427354039857164,0.0003074405831284821,0.0005905427969992161
35,0.00023119513934943825,0.0003197049954906106,0.00011074318899773061
36,0.00027348249568603933,0.00029825730598531663,0.000239766770391725
37,0.00019045922090299428,8.367282134713605e-05,0.0003357834939379245
38,0.00047422319767065346,-0.00021735155314672738,0.0014153782976791263
39,0.0004602601984515786,0.00021805269352626055,0.0007898771436884999
40,0.00024109100922942162,0.0003930166130885482,3.4337495890213177e-05
41,0.00010266806202707812,0.000771758088376373,-0.0008078879327513278
42,-3.9853683119872585e-05,0.0006620925269089639,-0.0009951232932507992
43,3.668968565762043e-05,0.0003358663525432348,-0.000370456138625741
44,1.9652079572551884e-05,0.0006042745662853122,-0.0007759531727060676
45,-0.000141875832923688,8.020665700314566e-05,-0.00044410512782633305
46,-0.0003352997009642422,-0.0005152731318958104,-9.037626296048984e-05
47,-0.0004308388743083924,-0.000771326944231987,3.2526906579732895e-05
48,-0.00019331650400999933,0.00018284929683431983,-0.0007052356959320605
49,9.333922935184091e-05,0.00020333343127276748,-5.635049819829874e-05
50,2.065078297164291e-05,-0.0001427884417353198,0.00024307315470650792
51,0.0002380500518484041,0.00024947262136265635,0.00022250520123634487
52,0.0004174658970441669,0.000367611413821578,0.00048531204811297357
53,-0.00016819220036268234,0.00028912871493957937,-0.000790554448030889
54,-0.00038507540011778474,-0.0004261287103872746,-0.0003292067558504641
55,0.0003538761811796576,0.00012199322372907773,0.0006694427574984729
56,0.00015809500473551452,0.00021949768415652215,7.453292346326634e-05
57,0.0004618449311237782,0.0006438400014303625,0.00021417018433567137
58,0.00042333485907875,0.0007892322610132396,-7.461016502929851e-05
59,0.0003367631870787591,0.0005522607825696468,4.349526352598332e-05
60,0.00016999432409647852,8.092739153653383e-05,0.00029120437102392316
61,0.0003314763307571411,0.0008885731804184616,-0.00042666951776482165
62,0.00011200977314729244,8.386593981413171e-05,0.0001503103121649474
63,0.00011882398393936455,0.000298551021842286,-0.00012576421431731433
64,1.2733142284560017e-05,-0.00023476732894778252,0.00034955336013808846
65,1.522632737760432e-05,0.0005126784672029316,-0.0006617498584091663
66,0.00013685310841538012,0.00037569415871985257,-0.00018818264652509242
67,-6.301260327745695e-06,9.692695311969146e-05,-0.00014678321895189583
68,5.9335827245377004e-05,0.00016834461712278426,-8.901283581508324e-05
69,8.549656922696158e-05,0.00030570311355404556,-0.0002141796867363155
70,0.00042980516445823014,0.0008023010450415313,-7.711948273936287e-05
71,0.00030782242538407445,0.00031995473545975983,0.00029131173505447805
72,2.2378782887244597e-05,0.0009505434427410364,-0.0012407483300194144
73,-1.1145461030537263e-05,0.0008877131622284651,-0.0012343906564638019
74,8.307728421641514e-05,0.0009629820706322789,-0.0011143737938255072
75,4.236070526530966e-05,0.00020130669872742146,-0.0001739468571031466
76,-7.54586944822222e-05,-0.0003114640130661428,0.0002457179652992636
77,5.708329626941122e-05,-3.345719051139895e-06,0.00013932040019426495
78,5.9498019254533574e-05,0.00010282843140885234,5.301910732669057e-07
79,0.00010104037210112438,-3.253548129578121e-05,0.00028282206039875746
80,6.25935208518058e-05,-0.00011419799557188526,0.00030318679637275636
81,1.432088447472779e-05,0.00040545163210481405,-0.0005179638974368572
82,0.0003617064794525504,0.0010268868645653129,-0.0005435288767330348
83,0.0002631027309689671,0.0005564286839216948,-0.00013608082372229546
84,4.662645733333193e-05,5.7679018937051296e-05,3.158516847179271e-05
85,-0.00014528211613651365,-0.0006178439361974597,0.0004978210781700909
86,-0.00019001384498551488,-0.0003079110465478152,-2.9569117032224312e-05
87,-7.933716551633552e-05,-0.00014127607573755085,4.954733867634786e-06
88,-3.926520366803743e-05,0.00016261568816844374,-0.0003140022454317659
89,8.287162927445024e-05,4.429022374097258e-05,0.0001353765546809882
90,-9.148225944954902e-05,-6.608309922739863e-05,-0.00012604767107404768
91,0.00014494909555651248,-3.142074274364859e-05,0.00038496855995617807
92,0.0002867704606615007,0.00042738765478134155,9.540642349747941e-05
93,0.0006670463480986655,0.0010419193422421813,0.00015688658459112048
94,9.5576215244364e-05,4.815516513190232e-05,0.00016011096886359155
95,0.00014828515122644603,0.00028723495779559016,-4.080980579601601e-05
96,9.027378109749407e-05,0.0006574069848284125,-0.0006815304514020681
97,-1.035638342727907e-05,0.0006088666850700974,-0.0008530490449629724
98,-7.204730536614079e-07,0.0007732129888609052,-0.0010539565701037645
99,-7.037146588118048e-06,0.0002758429618552327,-0.00039200502214953303
100,3.543704224284738e-05,0.0004199832328595221,-0.0004878869222011417
101,0.00013546260015573353,0.0006996149313636124,-0.0006322850822471082
102,-6.618212501052767e-05,1.9417073417571373e-05,-0.00018267300038132817
103,0.00013402171316556633,0.0002507043827790767,-2.477017551427707e-05
104,0.00015700983931310475,0.0005084495060145855,-0.0003212598676327616
105,-0.00017903964908327907,-0.00025323894806206226,-7.806280336808413e-05
106,7.118078792700544e-05,0.00053607695735991,-0.000561490363907069
107,0.0002643293992150575,6.660452345386147e-05,0.0005334106390364468
108,0.00025378138525411487,0.0005902147968299687,-0.0002040664985543117
109,8.759733464103192e-05,6.006320472806692e-05,0.0001250681816600263
