roi_index,roi_name,n_pixels,pixel_occlusion_mean_drop,pixel_occlusion_sum_drop,pixel_occlusion_mean_drop_class0,pixel_occlusion_mean_drop_class1,pixel_occlusion_class1_minus_class0,mlp_region_mask_aev,cnn_region_mask_aev,cnn_gradcam_energy,rank_cnn_occlusion,rank_gradcam_energy,rank_mlp_region_mask_aev,rank_pixel_occlusion_mean,rank_pixel_occlusion_sum
1,upper_brow_forehead,192,0.00010571720669923697,0.0202977036862535,6.887565596258582e-05,0.0001558543934807588,8.697873751817298e-05,0.0491345881190776,0.0666117958942744,0.2038045274141348,1,1,1,3,1
6,right_cheek_zygomatic,126,8.733328569595263e-05,0.011003993997690031,0.00020964451080847843,-7.911848739702633e-05,-0.00028876299820550477,0.0447521322280769,0.0209564376302928,0.1361489792055966,3,2,2,5,4
5,left_cheek_zygomatic,126,9.154697203176252e-05,0.011534918476002076,8.89901610619182e-06,0.0002040214951468067,0.00019512247904061487,0.0405941208677181,0.0178030018894779,0.0982117213357684,4,4,3,4,3
8,chin_mandible,80,8.241509002573366e-05,0.006593207202058693,0.00035972498529321937,-0.00029497237005671195,-0.0006546973553499313,0.0318418998874876,0.0095540275581311,0.0551623391323153,7,6,4,6,7
3,right_periocular,98,0.00010836276697420767,0.010619551163472352,2.1284734969225035e-05,0.00022686612520578356,0.00020558139023655852,0.0263881802546322,0.0227001905733859,0.1206987459927372,2,3,5,2,5
4,nasal_midface,56,0.0002185873652657782,0.012240892454883578,-1.8071617205350776e-05,0.0005406535351539787,0.0005587251523593295,0.0256738611083293,0.0086518881647624,0.0427056618895886,8,8,6,1,2
2,left_periocular,98,7.08397037147752e-05,0.00694229096404797,0.00011962998975869429,4.441632630200079e-06,-0.00011518835712849421,0.0208288577560863,0.0134226780748015,0.0812431713525309,5,5,7,7,6
7,perioral_mouth,64,-1.3494524555568432e-05,-0.0008636495715563797,-4.787935919381425e-05,3.329935995566302e-05,8.117871914947727e-05,0.0131414854076896,0.0133307791516654,0.0481422864618336,6,7,8,8,8
