roi,n_class0,n_class1,mean_class0,mean_class1,median_class0,median_class1,diff_class1_minus_class0,cohen_d,cliffs_delta,p_perm,bootstrap_ci_low,bootstrap_ci_high,p_fdr
nasal_midface,675,496,0.011795467094138812,0.04456078844618933,3.081560134887695e-05,0.0006735324859619,0.03276532135205052,0.27694464488718323,0.18847072879330945,0.0001999600079984003,0.018882385560431234,0.04797201175348766,0.0005332266879957342
right_cheek_zygomatic,675,496,0.07108322178875956,0.008918492200938342,0.0068348050117492,0.0001629590988159,-0.06216472958782122,-0.3785999126846376,-0.29431600955794507,0.0001999600079984003,-0.0804871962816734,-0.044041585622002756,0.0005332266879957342
chin_mandible,675,496,0.05915715288232872,-0.00533107545831421,0.0035145282745361,5.066394805908203e-06,-0.06448822834064293,-0.4792294666975582,-0.33970131421744326,0.0001999600079984003,-0.07951285836514532,-0.04956580384527473,0.0005332266879957342
left_periocular,675,496,0.03028001652823553,0.007966897733504374,0.0014827847480773,2.282857894897461e-05,-0.022313118794731156,-0.20482693269776994,-0.20494324970131422,0.0013997200559888023,-0.03519183298421722,-0.009781971122236903,0.0022395520895820836
left_cheek_zygomatic,675,496,0.026204981450681317,0.06017611503404858,0.0014488101005554,0.00063607096672055,0.03397113358336726,0.19532422067947253,0.011129032258064516,0.0011997600479904018,0.012454382795859259,0.05559643024537678,0.0022395520895820836
upper_brow_forehead,675,496,0.05403295031300297,0.04246847021403804,0.0024216175079345,0.0018533766269683,-0.011564480098964929,-0.07109377374695708,0.00471326164874552,0.22695460907818435,-0.030716696139303782,0.008057353911431827,0.30260614543757913
right_periocular,675,496,0.023566189077165386,0.03022859163525759,0.0003215074539184,0.00139120221137995,0.006662402558092202,0.05873507860608794,0.12586618876941458,0.3245350929814037,-0.006822977444136624,0.020221043778624954,0.3708972491216042
perioral_mouth,675,496,0.012406787960617621,0.01414132568344294,0.0002184510231018,6.377696990966797e-06,0.00173453772282532,0.018864059556804983,-0.12515232974910395,0.7544491101779645,-0.009962636488467855,0.013108777088154529,0.7544491101779645
