roi_index,roi_name,n,accuracy,balanced_accuracy,f1_class1,auroc,auprc,brier_score,mean_true_confidence,majority_baseline_accuracy,tn,fp,fn,tp
6,right_cheek_zygomatic,1171,0.6763450042698548,0.6551015531660693,0.574635241301908,0.6988082437275986,0.6095099606301962,0.22968466260594145,0.6166123747825623,0.5764304013663536,536,139,240,256
3,right_periocular,1171,0.5687446626814688,0.6018667861409797,0.6165527714502657,0.6736648745519713,0.6057441866711386,0.2635011792045889,0.540287971496582,0.5764304013663536,260,415,90,406
1,upper_brow_forehead,1171,0.5824081981212639,0.5992831541218638,0.5901089689857502,0.6664994026284349,0.6162002999354341,0.2690151574710925,0.5681777596473694,0.5764304013663536,330,345,144,352
5,left_cheek_zygomatic,1171,0.5849701110162254,0.5857332735961769,0.5466417910447762,0.6248118279569892,0.5892368309255787,0.2772233800905376,0.5657472610473633,0.5764304013663536,392,283,203,293
8,chin_mandible,1171,0.6037574722459437,0.5851881720430108,0.49783549783549785,0.6198387096774194,0.5519199502584213,0.2708945477150433,0.5726154446601868,0.5764304013663536,477,198,266,230
2,left_periocular,1171,0.5610589239965841,0.563923237753883,0.5293040293040293,0.5935274790919952,0.4862508045663561,0.26354390637793784,0.5385491251945496,0.5764304013663536,368,307,207,289
7,perioral_mouth,1171,0.5627668659265584,0.5560483870967742,0.4980392156862745,0.5576851851851852,0.5001306736104579,0.2881598070373227,0.5166020393371582,0.5764304013663536,405,270,242,254
4,nasal_midface,1171,0.5499573014517506,0.5548282556750299,0.5247971145175834,0.5787873357228195,0.4971574800454206,0.2876583616497245,0.5226938128471375,0.5764304013663536,353,322,205,291
