roi_index,roi_name,n,mean_evidence_drop,median_evidence_drop,prediction_change_rate,pixel_count,drop_per_pixel,drop_per_100_pixels,raw_rank,size_normalized_rank
4,nasal_midface,1171,0.0256738611083293,0.0001922845840454,0.0384286934244235,56,0.0004584618055058803,0.045846180550588034,6,1
8,chin_mandible,1171,0.0318418998874876,0.0005501508712768,0.0486763450042698,80,0.00039802374859359494,0.039802374859359495,4,2
6,right_cheek_zygomatic,1171,0.0447521322280769,0.0021156668663024,0.0657557643040136,126,0.0003551756526037849,0.03551756526037849,2,3
5,left_cheek_zygomatic,1171,0.0405941208677181,0.0011071562767028,0.0597779675491033,126,0.0003221755624422072,0.03221755624422072,3,4
3,right_periocular,1171,0.0263881802546322,0.0007315278053283,0.0358667805294619,98,0.00026926714545543064,0.026926714545543063,5,5
1,upper_brow_forehead,1171,0.0491345881190776,0.0020610690116882,0.0623398804440649,192,0.00025590931312019586,0.025590931312019585,1,6
2,left_periocular,1171,0.0208288577560863,0.0004891157150268,0.0298889837745516,98,0.00021253936485802347,0.021253936485802347,7,7
7,perioral_mouth,1171,0.0131414854076896,0.0001078844070434,0.0264730999146029,64,0.00020533570949515,0.020533570949515002,8,8
